Hanzi,Pinyin,Definition,HSK level,Pinyin + Definition
的,de,"possessive, adjectival suffix",1,"de - possessive, adjectival suffix"
一,yī,"one; a, an; alone",1,"yī - one; a, an; alone"
是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1,"shì - indeed, yes, right; to be; demonstrative pronoun, this, that"
不,bù,"no, not; un-; negative prefix",1,"bù - no, not; un-; negative prefix"
了,le,to finish; particle of completed action,1,le - to finish; particle of completed action
在,zài,"be at, in, on; consist in, rest",1,"zài - be at, in, on; consist in, rest"
人,rén,man; people; mankind; someone else,1,rén - man; people; mankind; someone else
有,yǒu,"have, own, possess; exist",1,"yǒu - have, own, possess; exist"
我,wǒ,"our, us, i, me, my, we",1,"wǒ - our, us, i, me, my, we"
他,tā,"other, another; he, she, it",1,"tā - other, another; he, she, it"
这,zhè,"this, the, here",1,"zhè - this, the, here"
个,gè,"numerary adjunct, piece; single",1,"gè - numerary adjunct, piece; single"
们,men,adjunct pronoun indicate plural,1,men - adjunct pronoun indicate plural
中,zhōng,"central; center, middle; in the midst of; hit (target); attain",1,"zhōng - central; center, middle; in the midst of; hit (target); attain"
来,lái,"come, coming; return, returning",1,"lái - come, coming; return, returning"
上,shàng,"top; superior, highest; go up, send up",1,"shàng - top; superior, highest; go up, send up"
大,dà,"big, great, vast, large, high",1,"dà - big, great, vast, large, high"
和,hé,"harmony, peace; peaceful, calm",1,"hé - harmony, peace; peaceful, calm"
国,guó,"nation, country, nation-state",1,"guó - nation, country, nation-state"
说,shuō,"speak, say, talk; scold, upbraid",1,"shuō - speak, say, talk; scold, upbraid"
时,shí,"time, season; era, age, period",1,"shí - time, season; era, age, period"
出,chū,"go out, send out; stand; produce",1,"chū - go out, send out; stand; produce"
会,huì,"assemble, meet together; meeting",1,"huì - assemble, meet together; meeting"
你,nǐ,"you, second person pronoun",1,"nǐ - you, second person pronoun"
对,duì,"correct, right; facing, opposed",1,"duì - correct, right; facing, opposed"
生,shēng,"life, living, lifetime; birth",1,"shēng - life, living, lifetime; birth"
能,néng,"to be able; can, permitted to; ability",1,"néng - to be able; can, permitted to; ability"
子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1,"zi - offspring, child; fruit, seed of; 1st terrestrial branch"
那,nà,"that, that one, those",1,"nà - that, that one, those"
下,xià,"under, underneath, below; down; inferior; bring down",1,"xià - under, underneath, below; down; inferior; bring down"
年,nián,,1,
后,hòu,"queen, empress, sovereign; (simp. for 後) behind, rear, after",1,"hòu - queen, empress, sovereign; (simp. for 後) behind, rear, after"
作,zuò,"make; work; compose, write; act, perform",1,"zuò - make; work; compose, write; act, perform"
里,lǐ,unit of distance; village; lane,1,lǐ - unit of distance; village; lane
家,jiā,"house, home, residence; family",1,"jiā - house, home, residence; family"
多,duō,"much, many; more than, over",1,"duō - much, many; more than, over"
么,me,interrogative particle; repetition of a tune small; tender,1,me - interrogative particle; repetition of a tune small; tender
去,qù,"go away, leave, depart",1,"qù - go away, leave, depart"
学,xué,"learning, knowledge; school",1,"xué - learning, knowledge; school"
都,dōu,"metropolis, capital; all, the whole; elegant, refined",1,"dōu - metropolis, capital; all, the whole; elegant, refined"
