,Hanzi,Level
0,爱,1
1,八,1
2,爸,1
3,杯,1
4,子,1
5,北,1
6,京,1
7,本,1
8,不,1
9,客,1
10,气,1
11,菜,1
12,茶,1
13,吃,1
14,出,1
15,租,1
16,车,1
17,打,1
18,电,1
19,话,1
20,大,1
21,的,1
22,点,1
23,脑,1
24,视,1
25,影,1
26,东,1
27,西,1
28,都,1
29,读,1
30,对,1
31,起,1
32,多,1
33,少,1
34,儿,1
35,二,1
36,饭,1
37,店,1
38,飞,1
39,机,1
40,分,1
41,钟,1
42,高,1
43,兴,1
44,个,1
45,工,1
46,作,1
47,狗,1
48,汉,1
49,语,1
50,好,1
51,号,1
52,喝,1
53,和,1
54,很,1
55,后,1
56,面,1
57,回,1
58,会,1
59,几,1
60,家,1
61,叫,1
62,今,1
63,天,1
64,九,1
65,开,1
66,看,1
67,见,1
68,块,1
69,来,1
70,老,1
71,师,1
72,了,1
73,冷,1
74,里,1
75,六,1
76,妈,1
77,吗,1
78,买,1
79,猫,1
80,没,1
81,关,1
82,系,1
83,有,1
84,米,1
85,明,1
86,名,1
87,字,1
88,哪,1
89,那,1
90,呢,1
91,能,1
92,你,1
93,年,1
94,女,1
95,朋,1
96,友,1
97,漂,1
98,亮,1
99,苹,1
100,果,1
101,七,1
102,钱,1
103,前,1
104,请,1
105,去,1
106,热,1
107,人,1
108,认,1
109,识,1
110,三,1
111,商,1
112,上,1
113,午,1
114,谁,1
115,什,1
116,么,1
117,十,1
118,时,1
119,候,1
120,是,1
121,书,1
122,水,1
123,睡,1
124,觉,1
125,说,1
126,四,1
127,岁,1
128,他,1
129,她,1
130,太,1
131,听,1
132,同,1
133,学,1
134,喂,1
135,我,1
136,们,1
137,五,1
138,喜,1
139,欢,1
140,下,1
141,雨,1
142,先,1
143,生,1
144,现,1
145,在,1
146,想,1
147,小,1
148,姐,1
149,些,1
150,写,1
151,谢,1
152,星,1
153,期,1
154,习,1
155,校,1
156,一,1
157,衣,1
158,服,1
159,医,1
160,院,1
161,椅,1
162,月,1
163,再,1
164,怎,1
165,样,1
166,这,1
167,中,1
168,国,1
169,住,1
170,桌,1
171,昨,1
172,做,1
173,坐,1
174,吧,2
175,白,2
176,百,2
177,帮,2
178,助,2
179,报,2
180,纸,2
181,比,2
182,别,2
183,宾,2
184,馆,2
185,长,2
186,唱,2
187,歌,2
188,穿,2
189,次,2
190,从,2
191,错,2
192,篮,2
193,球,2
194,到,2
195,得,2
196,等,2
197,弟,2
198,第,2
199,懂,2
200,房,2
201,间,2
202,非,2
203,常,2
204,务,2
205,员,2
206,告,2
207,诉,2
208,哥,2
209,给,2
210,公,2
211,共,2
212,汽,2
213,司,2
214,贵,2
215,过,2
216,还,2
217,孩,2
218,黑,2
219,红,2
220,火,2
221,站,2
222,场,2
223,鸡,2
224,蛋,2
225,件,2
226,教,2
227,室,2
228,介,2
229,绍,2
230,进,2
231,近,2
232,就,2
233,咖,2
234,啡,2
235,始,2
236,考,2
237,试,2
238,可,2
239,以,2
240,课,2
241,快,2
242,乐,2
243,累,2
244,离,2
245,两,2
246,零,2
247,路,2
248,旅,2
249,游,2
250,卖,2
251,慢,2
252,忙,2
253,每,2
254,妹,2
255,门,2
256,条,2
257,男,2
258,您,2
259,牛,2
260,奶,2
261,旁,2
262,边,2
263,跑,2
264,步,2
265,便,2
266,宜,2
267,票,2
268,妻,2
269,床,2
270,千,2
271,铅,2
272,笔,2
273,晴,2
274,让,2
275,日,2
276,班,2
277,身,2
278,体,2
279,病,2
280,事,2
281,情,2
282,手,2
283,表,2
284,送,2
285,虽,2
286,然,2
287,但,2
288,它,2
289,踢,2
290,足,2
291,题,2
292,跳,2
293,舞,2
294,外,2
295,完,2
296,玩,2
297,晚,2
298,往,2
299,为,2
300,问,2
301,瓜,2
302,希,2
303,望,2
304,洗,2
305,笑,2
306,新,2
307,姓,2
308,休,2
309,息,2
310,雪,2
311,颜,2
312,色,2
313,眼,2
314,睛,2
315,羊,2
316,肉,2
317,药,2
318,要,2
319,也,2
320,已,2
321,经,2
322,意,2
323,思,2
324,因,2
325,所,2
326,阴,2
327,泳,2
328,右,2
329,鱼,2
330,远,2
331,运,2
332,动,2
333,早,2
334,丈,2
335,夫,2
336,找,2
337,着,2
338,真,2
339,正,2
340,知,2
341,道,2
342,准,2
343,备,2
344,走,2
345,最,2
346,左,2
347,阿,3
348,姨,3
349,啊,3
350,矮,3
351,安,3
352,静,3
353,把,3
354,搬,3
355,办,3
356,法,3
357,半,3
358,包,3
359,饱,3
360,方,3
361,被,3
362,鼻,3
363,较,3
364,赛,3
365,记,3
366,必,3
367,须,3
368,变,3
369,化,3
370,冰,3
371,箱,3
372,而,3
373,且,3
374,单,3
375,参,3
376,加,3
377,草,3
378,层,3
379,差,3
380,超,3
381,市,3
382,衬,3
383,衫,3
384,成,3
385,绩,3
386,城,3
387,迟,3
388,除,3
389,船,3
390,春,3
391,词,3
392,典,3
393,聪,3
394,扫,3
395,算,3
396,带,3
397,担,3
398,心,3
399,糕,3
400,当,3
401,地,3
402,灯,3
403,铁,3
404,图,3
405,梯,3
406,邮,3
407,冬,3
408,物,3
409,短,3
410,段,3
411,锻,3
412,炼,3
413,饿,3
414,耳,3
415,朵,3
416,发,3
417,烧,3
418,放,3
419,附,3
420,复,3
421,干,3
422,净,3
423,感,3
424,冒,3
425,趣,3
426,刚,3
427,才,3
428,根,3
429,据,3
430,跟,3
431,更,3
432,斤,3
433,园,3
434,故,3
435,刮,3
436,风,3
437,于,3
438,害,3
439,怕,3
440,板,3
441,护,3
442,照,3
443,花,3
444,画,3
445,坏,3
446,迎,3
447,环,3
448,境,3
449,换,3
450,黄,3
451,河,3
452,答,3
453,议,3
454,或,3
455,者,3
456,乎,3
457,极,3
458,季,3
459,节,3
460,检,3
461,查,3
462,简,3
463,健,3
464,康,3
465,讲,3
466,角,3
467,脚,3
468,接,3
469,街,3
470,目,3
471,结,3
472,婚,3
473,束,3
474,解,3
475,决,3
476,借,3
477,理,3
478,久,3
479,旧,3
480,句,3
481,定,3
482,渴,3
483,刻,3
484,空,3
485,调,3
486,口,3
487,哭,3
488,裤,3
489,筷,3
490,蓝,3
491,礼,3
492,历,3
493,史,3
494,脸,3
495,练,3
496,辆,3
497,聊,3
498,邻,3
499,居,3
500,留,3
501,楼,3
502,绿,3
503,马,3
504,满,3
505,帽,3
506,拿,3
507,南,3
508,难,3
509,级,3
510,轻,3
511,鸟,3
512,努,3
513,力,3
514,爬,3
515,山,3
516,盘,3
517,胖,3
518,皮,3
519,鞋,3
520,啤,3
521,酒,3
522,瓶,3
523,其,3
524,实,3
525,奇,3
526,怪,3
527,骑,3
528,清,3
529,楚,3
530,假,3
531,秋,3
532,裙,3
533,容,3
534,易,3
535,如,3
536,伞,3
537,网,3
538,声,3
539,音,3
540,世,3
541,界,3
542,瘦,3
543,叔,3
544,舒,3
545,树,3
546,数,3
547,刷,3
548,牙,3
549,双,3
550,平,3
551,阳,3
552,特,3
553,疼,3
554,提,3
555,育,3
556,甜,3
557,头,3
558,突,3
559,腿,3
560,碗,3
561,万,3
562,忘,3
563,位,3
564,文,3
565,惯,3
566,澡,3
567,夏,3
568,相,3
569,信,3
570,香,3
571,蕉,3
572,向,3
573,像,3
574,闻,3
575,鲜,3
576,用,3
577,卡,3
578,行,3
579,李,3
580,熊,3
581,需,3
582,选,3
583,择,3
584,求,3
585,爷,3
586,般,3
587,直,3
588,银,3
589,饮,3
590,料,3
591,应,3
592,该,3
593,响,3
594,戏,3
595,又,3
596,遇,3
597,元,3
598,愿,3
599,越,3
600,张,3
601,急,3
602,顾,3
603,片,3
604,只,3
605,终,3
606,种,3
607,重,3
608,周,3
609,末,3
610,主,3
611,注,3
612,自,3
613,己,3
614,总,3
615,嘴,3
616,业,3
617,排,4
618,全,4
619,按,4
620,之,4
621,棒,4
622,保,4
623,证,4
624,抱,4
625,歉,4
626,倍,4
627,笨,4
628,毕,4
629,遍,4
630,标,4
631,格,4
632,示,4
633,演,4
634,扬,4
635,饼,4
636,并,4
637,博,4
638,士,4
639,管,4
640,仅,4
641,部,4
642,擦,4
643,猜,4
644,材,4
645,观,4
646,餐,4
647,厅,4
648,厕,4
649,江,4
650,尝,4
651,功,4
652,诚,4
653,乘,4
654,惊,4
655,抽,4
656,烟,4
657,厨,4
658,传,4
659,窗,4
660,户,4
661,粗,4
662,存,4
663,误,4
664,案,4
665,扮,4
666,扰,4
667,印,4
668,招,4
669,呼,4
670,折,4
671,针,4
672,概,4
673,使,4
674,约,4
675,戴,4
676,刀,4
677,导,4
678,处,4
679,底,4
680,倒,4
681,登,4
682,牌,4
683,低,4
684,址,4
685,掉,4
686,丢,4
687,堵,4
688,肚,4
689,童,4
690,展,4
691,律,4
692,翻,4
693,译,4
694,烦,4
695,恼,4
696,反,4
697,弃,4
698,暑,4
699,松,4
700,份,4
701,丰,4
702,富,4
703,否,4
704,则,4
705,符,4
706,合,4
707,父,4
708,亲,4
709,付,4
710,款,4
711,负,4
712,责,4
713,杂,4
714,改,4
715,赶,4
716,敢,4
717,速,4
718,胳,4
719,膊,4
720,各,4
721,资,4
722,购,4
723,够,4
724,估,4
725,计,4
726,鼓,4
727,励,4
728,挂,4
729,键,4
730,众,4
731,光,4
732,广,4
733,播,4
734,逛,4
735,规,4
736,籍,4
737,际,4
738,汁,4
739,程,4
740,海,4
741,洋,4
742,羞,4
743,寒,4
744,汗,4
745,航,4
746,码,4
747,适,4
748,盒,4
749,悔,4
750,厚,4
751,互,4
752,联,4
753,怀,4
754,疑,4
755,忆,4
756,活,4
757,泼,4
758,获,4
759,积,4
760,基,4
761,础,4
762,激,4
763,及,4
764,即,4
765,划,4
766,技,4
767,术,4
768,既,4
769,继,4
770,续,4
771,寄,4
772,油,4
773,具,4
774,价,4
775,坚,4
776,持,4
777,减,4
778,肥,4
779,建,4
780,将,4
781,奖,4
782,金,4
783,降,4
784,落,4
785,交,4
786,流,4
787,通,4
788,郊,4
789,区,4
790,骄,4
791,傲,4
792,饺,4
793,授,4
794,受,4
795,释,4
796,尽,4
797,紧,4
798,禁,4
799,止,4
800,剧,4
801,济,4
802,验,4
803,精,4
804,彩,4
805,景,4
806,警,4
807,察,4
808,竞,4
809,争,4
810,竟,4
811,镜,4
812,究,4
813,举,4
814,拒,4
815,绝,4
816,距,4
817,聚,4
818,虑,4
819,烤,4
820,鸭,4
821,科,4
822,棵,4
823,咳,4
824,嗽,4
825,怜,4
826,惜,4
827,肯,4
828,恐,4
829,苦,4
830,矿,4
831,泉,4
832,困,4
833,垃,4
834,圾,4
835,桶,4
836,拉,4
837,辣,4
838,懒,4
839,浪,4
840,费,4
841,漫,4
842,虎,4
843,拜,4
844,貌,4
845,厉,4
846,例,4
847,俩,4
848,连,4
849,凉,4
850,另,4
851,利,4
852,乱,4
853,麻,4
854,毛,4
855,巾,4
856,美,4
857,丽,4
858,梦,4
859,迷,4
860,密,4
861,免,4
862,秒,4
863,民,4
864,族,4
865,母,4
866,耐,4
867,内,4
868,龄,4
869,弄,4
870,暖,4
871,偶,4
872,尔,4
873,队,4
874,列,4
875,判,4
876,断,4
877,陪,4
878,批,4
879,评,4
880,肤,4
881,脾,4
882,篇,4
883,骗,4
884,乒,4
885,乓,4
886,破,4
887,葡,4
888,萄,4
889,普,4
890,签,4
891,敲,4
892,桥,4
893,巧,4
894,克,4
895,戚,4
896,况,4
897,穷,4
898,取,4
899,缺,4
900,却,4
901,确,4
902,闹,4
903,任,4
904,何,4
905,扔,4
906,仍,4
907,入,4
908,散,4
909,森,4
910,林,4
911,沙,4
912,伤,4
913,量,4
914,稍,4
915,微,4
916,勺,4
917,社,4
918,申,4
919,深,4
920,甚,4
921,至,4
922,命,4
923,省,4
924,剩,4
925,失,4
926,败,4
927,傅,4
928,纪,4
929,收,4
930,拾,4
931,首,4
932,售,4
933,货,4
934,输,4
935,熟,4
936,悉,4
937,帅,4
938,顺,4
939,序,4
940,硕,4
941,死,4
942,度,4
943,塑,4
944,袋,4
945,酸,4
946,随,4
947,孙,4
948,台,4
949,抬,4
950,态,4
951,谈,4
952,弹,4
953,钢,4
954,琴,4
955,汤,4
956,糖,4
957,躺,4
958,趟,4
959,讨,4
960,论,4
961,厌,4
962,供,4
963,醒,4
964,填,4
965,停,4
966,挺,4
967,推,4
968,脱,4
969,袜,4
970,危,4
971,险,4
972,卫,4
973,味,4
974,温,4
975,章,4
976,污,4
977,染,4
978,无,4
979,柿,4
980,吸,4
981,引,4
982,咸,4
983,羡,4
984,慕,4
985,详,4
986,细,4
987,橡,4
988,消,4
989,伙,4
990,效,4
991,辛,4
992,封,4
993,奋,4
994,幸,4
995,福,4
996,性,4
997,修,4
998,许,4
999,压,4
1000,呀,4
1001,膏,4
1002,亚,4
1003,洲,4
1004,严,4
1005,研,4
1006,盐,4
1007,养,4
1008,邀,4
1009,钥,4
1010,匙,4
1011,叶,4
1012,页,4
1013,切,4
1014,艺,4
1015,此,4
1016,象,4
1017,赢,4
1018,聘,4
1019,永,4
1020,勇,4
1021,优,4
1022,秀,4
1023,幽,4
1024,默,4
1025,尤,4
1026,由,4
1027,局,4
1028,谊,4
1029,愉,4
1030,与,4
1031,羽,4
1032,言,4
1033,预,4
1034,原,4
1035,谅,4
1036,阅,4
1037,云,4
1038,允,4
1039,志,4
1040,咱,4
1041,暂,4
1042,脏,4
1043,增,4
1044,占,4
1045,线,4
1046,整,4
1047,式,4
1048,支,4
1049,值,4
1050,职,4
1051,植,4
1052,指,4
1053,质,4
1054,围,4
1055,祝,4
1056,贺,4
1057,著,4
1058,专,4
1059,转,4
1060,赚,4
1061,仔,4
1062,尊,4
1063,座,4
1064,哎,5
1065,唉,5
1066,慰,5
1067,装,5
1068,岸,5
1069,暗,5
1070,熬,5
1071,夜,5
1072,握,5
1073,摆,5
1074,傍,5
1075,裹,5
1076,含,5
1077,括,5
1078,薄,5
1079,宝,5
1080,贝,5
1081,怨,5
1082,背,5
1083,悲,5
1084,领,5
1085,彼,5
1086,避,5
1087,编,5
1088,辑,5
1089,鞭,5
1090,炮,5
1091,辩,5
1092,达,5
1093,凌,5
1094,毒,5
1095,玻,5
1096,璃,5
1097,脖,5
1098,补,5
1099,充,5
1100,布,5
1101,骤,5
1102,财,5
1103,产,5
1104,采,5
1105,访,5
1106,虹,5
1107,踩,5
1108,惭,5
1109,愧,5
1110,操,5
1111,册,5
1112,测,5
1113,曾,5
1114,叉,5
1115,插,5
1116,拆,5
1117,品,5
1118,途,5
1119,抄,5
1120,朝,5
1121,潮,5
1122,湿,5
1123,吵,5
1124,架,5
1125,炒,5
1126,库,5
1127,厢,5
1128,彻,5
1129,沉,5
1130,趁,5
1131,称,5
1132,赞,5
1133,立,5
1134,恳,5
1135,承,5
1136,亏,5
1137,池,5
1138,塘,5
1139,尺,5
1140,翅,5
1141,膀,5
1142,冲,5
1143,器,5
1144,宠,5
1145,屉,5
1146,丑,5
1147,臭,5
1148,版,5
1149,席,5
1150,初,5
1151,夕,5
1152,统,5
1153,帘,5
1154,闯,5
1155,创,5
1156,造,5
1157,吹,5
1158,汇,5
1159,辞,5
1160,刺,5
1161,匆,5
1162,糙,5
1163,促,5
1164,醋,5
1165,催,5
1166,措,5
1167,施,5
1168,喷,5
1169,嚏,5
1170,厦,5
1171,型,5
1172,呆,5
1173,代,5
1174,替,5
1175,贷,5
1176,待,5
1177,纯,5
1178,独,5
1179,耽,5
