Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English,HSK level
下个星期天把朋友们都叫来一起吃饭。,Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn.,"Next Sunday, let's gather friends to eat together.",下个星期天把朋友们都叫来一起吃饭。 - Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn.,"Xià gè xīngqītiān bǎ péngyoumen dōu jiào lái yìqǐ chīfàn. - Next Sunday, let's gather friends to eat together.",3
A: 我想他喜欢吃面条和蛋糕。 B: 没错！你都说对了，他喜欢吃面条和蛋糕。,"A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo.","A: I think he likes to eat noodles and cake. B: Yes! You're right, he likes to eat noodles and cakes.","A: 我想他喜欢吃面条和蛋糕。 B: 没错！你都说对了，他喜欢吃面条和蛋糕。 - A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo.","A: Wǒ xiǎng tā xǐhuan chī miàntiáo hé dàngāo. B: Méicuò! Nǐ dōu shuō duìle, tā xǐhuan chī miàntiáo hé dàngāo. - A: I think he likes to eat noodles and cake. B: Yes! You're right, he likes to eat noodles and cakes.",3
我终于学会开车了。,Wǒ zhōngyú xuéhuì kāichē le.,I finally learned how to drive.,我终于学会开车了。 - Wǒ zhōngyú xuéhuì kāichē le.,Wǒ zhōngyú xuéhuì kāichē le. - I finally learned how to drive.,3
你就放心地去旅游吧！我会好好照顾自己的。,Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de.,Just don't worry and go travel! I will take care of myself!,你就放心地去旅游吧！我会好好照顾自己的。 - Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de.,Nǐ jiù fàngxīn dì qù lǚyóu ba! Wǒ huì hǎohāo zhàogù zìjǐ de. - Just don't worry and go travel! I will take care of myself!,3
我已经报名学开车了。,Wǒ yǐjīng bàomíng xué kāichē le.,I've already applied for driving lessons.,我已经报名学开车了。 - Wǒ yǐjīng bàomíng xué kāichē le.,Wǒ yǐjīng bàomíng xué kāichē le. - I've already applied for driving lessons.,2
我很害怕一个人开车。,Wǒ hěn hàipà yígè rén kāichē.,I'm afraid to drive alone.,我很害怕一个人开车。 - Wǒ hěn hàipà yígè rén kāichē.,Wǒ hěn hàipà yígè rén kāichē. - I'm afraid to drive alone.,3
今天是假日，街道上都没有人。,"Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén.","Today is a holiday, so there's no one on the street.","今天是假日，街道上都没有人。 - Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén.","Jīntiān shì jiàrì, jiēdào shàng dōu méiyǒu rén. - Today is a holiday, so there's no one on the street.",3
他家有两辆汽车。,Tā jiā yǒu liǎng liàng qìchē.,There are two cars in his house.,他家有两辆汽车。 - Tā jiā yǒu liǎng liàng qìchē.,Tā jiā yǒu liǎng liàng qìchē. - There are two cars in his house.,3
电影的门票一张是三百元。,Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán.,The ticket for cinema is 300 dollars.,电影的门票一张是三百元。 - Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán.,Diànyǐng de ménpiào yì zhāng shì sān bǎi yuán. - The ticket for cinema is 300 dollars.,3
中国每年都有很多游客来旅游。,Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu.,There are a lot of tourists coming to China every year.,中国每年都有很多游客来旅游。 - Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu.,Zhōngguó měi nián dōu yǒu hěnduō yóukè lái lǚyóu. - There are a lot of tourists coming to China every year.,2
买东西的时候，要看一看东西过期了没有。,"Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu.","When you are buying things, you need to check it out if it is expired or not.","买东西的时候，要看一看东西过期了没有。 - Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu.","Mǎi dōngxī de shíhòu, yào kàn yī kàn dōngxī guòqīle méiyǒu. - When you are buying things, you need to check it out if it is expired or not.",2
他不习惯这儿的气候，太常下雨了。,"Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le.","He is not used to the climate here, it rains too much.","他不习惯这儿的气候，太常下雨了。 - Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le.","Tā bù xíguàn zhèr de qìhòu, tài cháng xiàyǔ le. - He is not used to the climate here, it rains too much.",3
夏天的时候，我喜欢到西班牙去旅游。,"Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu.","During the summer, I like to go travel to Spain.","夏天的时候，我喜欢到西班牙去旅游。 - Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu.","Xiàtiān de shíhou, wǒ xǐhuan dào Xībānyá qù lǚyóu. - During the summer, I like to go travel to Spain.",3
