Hanzi,Pinyin,English,Hanzi + Pinyin,Pinyin + English
刚开始，我有点儿不习惯这里的生活。,"Gāng kāishǐ, wǒ yóudiǎnr bù xíguàn zhèlǐ de shēnghuó.","I just started, I'm a little but unfamiliar with the lifestyle here.","刚开始，我有点儿不习惯这里的生活。 - Gāng kāishǐ, wǒ yóudiǎnr bù xíguàn zhèlǐ de shēnghuó.","Gāng kāishǐ, wǒ yóudiǎnr bù xíguàn zhèlǐ de shēnghuó. - I just started, I'm a little but unfamiliar with the lifestyle here."
我们俩的作息时间很不一样。,Wǒmen liǎ de zuòxi shíjiān hěn bù yíyàng.,Our work and rest time is very different.,我们俩的作息时间很不一样。 - Wǒmen liǎ de zuòxi shíjiān hěn bù yíyàng.,Wǒmen liǎ de zuòxi shíjiān hěn bù yíyàng. - Our work and rest time is very different.
我每天都按时到校。,Wǒ měitiān dōu ànshí dào xiào.,Every day I arrive on time to school.,我每天都按时到校。 - Wǒ měitiān dōu ànshí dào xiào.,Wǒ měitiān dōu ànshí dào xiào. - Every day I arrive on time to school.
最近我的作息时间很有规律。,Zuìjìn wǒ de zuòxi shíjiān hěn yǒu guīlǜ.,Recently my work and rest time has been very regular.,最近我的作息时间很有规律。 - Zuìjìn wǒ de zuòxi shíjiān hěn yǒu guīlǜ.,Zuìjìn wǒ de zuòxi shíjiān hěn yǒu guīlǜ. - Recently my work and rest time has been very regular.
谁也没想到她们俩是姐妹。,Sheí yě méi xiǎng dào tāmen liǎ shì jiěmèi.,Who would've thought they were sisters.,谁也没想到她们俩是姐妹。 - Sheí yě méi xiǎng dào tāmen liǎ shì jiěmèi.,Sheí yě méi xiǎng dào tāmen liǎ shì jiěmèi. - Who would've thought they were sisters.
每个人对教育的想法都不一样.,Měigè rén duì jiàoyù de xiǎngfǎ dōu bù yíyàng.,Everyone's opinion toward education is different.,每个人对教育的想法都不一样. - Měigè rén duì jiàoyù de xiǎngfǎ dōu bù yíyàng.,Měigè rén duì jiàoyù de xiǎngfǎ dōu bù yíyàng. - Everyone's opinion toward education is different.
每天作业很多，让我觉得压力很大。,"Měitiān zuòyè hěnduō, ràng wǒ juéde yālì hěn dà.","Every day there is lots of work, it makes me feel great pressure.","每天作业很多，让我觉得压力很大。 - Měitiān zuòyè hěnduō, ràng wǒ juéde yālì hěn dà.","Měitiān zuòyè hěnduō, ràng wǒ juéde yālì hěn dà. - Every day there is lots of work, it makes me feel great pressure."
你可以接受他的建议吗？,Nǐ kěyǐ jiēshòu tā de jiànyì ma?,Can you accept my suggestion?,你可以接受他的建议吗？ - Nǐ kěyǐ jiēshòu tā de jiànyì ma?,Nǐ kěyǐ jiēshòu tā de jiànyì ma? - Can you accept my suggestion?
我父母很重视我的成绩。,Wǒ fùmǔ hěn zhòngshì wǒ de chéngjì.,My parents attach great importance to my accomplishments.,我父母很重视我的成绩。 - Wǒ fùmǔ hěn zhòngshì wǒ de chéngjì.,Wǒ fùmǔ hěn zhòngshì wǒ de chéngjì. - My parents attach great importance to my accomplishments.
这一份报纸你看过了吗？,Zhè yí fèn bàozhǐ nǐ kànguò le ma?,Have you read this newspaper?,这一份报纸你看过了吗？ - Zhè yí fèn bàozhǐ nǐ kànguò le ma?,Zhè yí fèn bàozhǐ nǐ kànguò le ma? - Have you read this newspaper?
